Pair Number: 1, colors: MajorColor:Color [White], MinorColor:Color [Blue]
Pair Number: 2, colors: MajorColor:Color [White], MinorColor:Color [Orange]
Pair Number: 3, colors: MajorColor:Color [White], MinorColor:Color [Green]
Pair Number: 4, colors: MajorColor:Color [White], MinorColor:Color [Brown]
Pair Number: 5, colors: MajorColor:Color [White], MinorColor:Color [SlateGray]
Pair Number: 6, colors: MajorColor:Color [Red], MinorColor:Color [Blue]
Pair Number: 7, colors: MajorColor:Color [Red], MinorColor:Color [Orange]
Pair Number: 8, colors: MajorColor:Color [Red], MinorColor:Color [Green]
Pair Number: 9, colors: MajorColor:Color [Red], MinorColor:Color [Brown]
Pair Number: 10, colors: MajorColor:Color [Red], MinorColor:Color [SlateGray]
Pair Number: 11, colors: MajorColor:Color [Black], MinorColor:Color [Blue]
Pair Number: 12, colors: MajorColor:Color [Black], MinorColor:Color [Orange]
Pair Number: 13, colors: MajorColor:Color [Black], MinorColor:Color [Green]
Pair Number: 14, colors: MajorColor:Color [Black], MinorColor:Color [Brown]
Pair Number: 15, colors: MajorColor:Color [Black], MinorColor:Color [SlateGray]
Pair Number: 16, colors: MajorColor:Color [Yellow], MinorColor:Color [Blue]
Pair Number: 17, colors: MajorColor:Color [Yellow], MinorColor:Color [Orange]
Pair Number: 18, colors: MajorColor:Color [Yellow], MinorColor:Color [Green]
Pair Number: 19, colors: MajorColor:Color [Yellow], MinorColor:Color [Brown]
Pair Number: 20, colors: MajorColor:Color [Yellow], MinorColor:Color [SlateGray]
Pair Number: 21, colors: MajorColor:Color [Violet], MinorColor:Color [Blue]
Pair Number: 22, colors: MajorColor:Color [Violet], MinorColor:Color [Orange]
Pair Number: 23, colors: MajorColor:Color [Violet], MinorColor:Color [Green]
Pair Number: 24, colors: MajorColor:Color [Violet], MinorColor:Color [Brown]
Pair Number: 25, colors: MajorColor:Color [Violet], MinorColor:Color [SlateGray]
